generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,M_r_resolved_summary,feature_dim,projection_type,loss_type,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,condensation_time_mean,training_time_mean,inference_time_mean,status
2026-06-07T13:41:03Z,92a00a6,6ee18b2ac9a2a261,imdb-Herding-HG-seed0-6ee18b2a,imdb,Herding-HG,138,138,,64,raw,,,0.256506,0.000642,,,0.000000,0.269787,0.000000,completed
2026-06-07T13:36:34Z,92a00a6,4a7f5c874816357b,imdb-Herding-HG-seed0-4a7f5c87,imdb,Herding-HG,20,20,,64,raw,,,0.180929,0.001031,,,0.000000,0.212575,0.000000,completed
2026-06-07T13:39:29Z,92a00a6,397d8103098ebea8,imdb-Herding-HG-seed0-397d8103,imdb,Herding-HG,27,27,,64,raw,,,0.171560,0.001845,,,0.000000,0.231402,0.000000,completed
2026-06-07T13:36:34Z,92a00a6,4ffc254f6a69d082,imdb-Herding-HG-seed0-4ffc254f,imdb,Herding-HG,44,44,,64,raw,,,0.186758,0.000674,,,0.000000,0.185585,0.000000,completed
2026-06-07T13:39:30Z,92a00a6,6aef8ffd9d2b35b4,imdb-Herding-HG-seed0-6aef8ffd,imdb,Herding-HG,54,54,,64,raw,,,0.204560,0.002024,,,0.000000,0.227665,0.000000,completed
2026-06-07T13:41:02Z,92a00a6,ea4aa0cea4857c0c,imdb-Herding-HG-seed0-ea4aa0ce,imdb,Herding-HG,69,69,,64,raw,,,0.224235,0.001925,,,0.000000,0.224769,0.000000,completed
2026-06-07T13:41:03Z,92a00a6,6d8a6784540813a2,imdb-K-Center-HG-seed0-6d8a6784,imdb,K-Center-HG,138,138,,64,raw,,,0.303144,0.011139,,,0.000000,0.256400,0.000000,completed
2026-06-07T13:36:34Z,92a00a6,03af4fcffabf7f0a,imdb-K-Center-HG-seed0-03af4fcf,imdb,K-Center-HG,20,20,,64,raw,,,0.247866,0.015614,,,0.000000,0.189511,0.000000,completed
2026-06-07T13:39:29Z,92a00a6,6014e90eefa88a63,imdb-K-Center-HG-seed0-6014e90e,imdb,K-Center-HG,27,27,,64,raw,,,0.263273,0.003431,,,0.000000,0.216637,0.000000,completed
2026-06-07T13:36:35Z,92a00a6,bf9a15fd8a1c1fb1,imdb-K-Center-HG-seed0-bf9a15fd,imdb,K-Center-HG,44,44,,64,raw,,,0.265147,0.011585,,,0.000000,0.189441,0.000000,completed
2026-06-07T13:39:30Z,92a00a6,bed37553f3bd448c,imdb-K-Center-HG-seed0-bed37553,imdb,K-Center-HG,54,54,,64,raw,,,0.275036,0.010843,,,0.000000,0.228383,0.000000,completed
2026-06-07T13:41:02Z,92a00a6,79e9c6dd6571605f,imdb-K-Center-HG-seed0-79e9c6dd,imdb,K-Center-HG,69,69,,64,raw,,,0.271601,0.014716,,,0.000000,0.224244,0.000000,completed
2026-06-07T13:41:03Z,92a00a6,555bdcb48e00b594,imdb-Random-HG-seed0-555bdcb4,imdb,Random-HG,138,138,,64,raw,,,0.293463,0.009624,,,0.000000,0.267516,0.000000,completed
2026-06-07T13:36:33Z,92a00a6,515cabb0e884dedd,imdb-Random-HG-seed0-515cabb0,imdb,Random-HG,20,20,,64,raw,,,0.255986,0.011063,,,0.000000,0.659989,0.000000,completed
2026-06-07T13:39:29Z,92a00a6,c0620b23625a9017,imdb-Random-HG-seed0-c0620b23,imdb,Random-HG,27,27,,64,raw,,,0.275036,0.011180,,,0.000000,1.460181,0.000000,completed
2026-06-07T13:36:34Z,92a00a6,9e07122f3d73e78f,imdb-Random-HG-seed0-9e07122f,imdb,Random-HG,44,44,,64,raw,,,0.292109,0.010534,,,0.000000,0.202205,0.000000,completed
2026-06-07T13:39:30Z,92a00a6,f1525a34beeed101,imdb-Random-HG-seed0-f1525a34,imdb,Random-HG,54,54,,64,raw,,,0.294399,0.011591,,,0.000000,0.237175,0.000000,completed
2026-06-07T13:41:01Z,92a00a6,618d5562a94c4cc4,imdb-Random-HG-seed0-618d5562,imdb,Random-HG,69,69,,64,raw,,,0.291693,0.015988,,,0.000000,0.226887,0.000000,completed
2026-06-07T13:36:33Z,92a00a6,a505e68817964d18,imdb-Self-Only-MLP-seed0-a505e688,imdb,Self-Only-MLP,20,20,director--directs-->movie=8;actor--acts_in-->movie=8;keyword--keyword_in-->movie=8,64,raw,clipped,relation_mlp,0.398605,0.011825,0.373865,0.005281,2.722691,18.035212,0.190872,completed
2026-06-07T13:39:28Z,92a00a6,d32a4fecb142bfa0,imdb-Self-Only-MLP-seed0-d32a4fec,imdb,Self-Only-MLP,27,27,director--directs-->movie=9;actor--acts_in-->movie=9;keyword--keyword_in-->movie=9,64,raw,clipped,relation_mlp,0.399542,0.014582,0.369270,0.008065,3.481071,17.104856,0.186665,completed
2026-06-07T13:41:01Z,92a00a6,8169ab53d425dfbc,imdb-Self-Only-MLP-seed0-8169ab53,imdb,Self-Only-MLP,69,69,director--directs-->movie=23;actor--acts_in-->movie=23;keyword--keyword_in-->movie=23,64,raw,clipped,relation_mlp,0.400687,0.008219,0.359630,0.008840,6.592661,17.700144,0.181937,completed
2026-06-07T13:36:11Z,92a00a6,3fbad02bf779f7ba,imdb-Shadow-HGC-R-1-seed0-3fbad02b,imdb,Shadow-HGC-R-1,20,20,director--directs-->movie=8;actor--acts_in-->movie=8;keyword--keyword_in-->movie=8,64,raw,clipped,relation_linear,0.337602,0.005865,0.299790,0.006294,4.441128,1.147118,0.028822,completed
2026-06-07T13:39:06Z,92a00a6,104d0886a4a665c6,imdb-Shadow-HGC-R-1-seed0-104d0886,imdb,Shadow-HGC-R-1,27,27,director--directs-->movie=9;actor--acts_in-->movie=9;keyword--keyword_in-->movie=9,64,raw,clipped,relation_linear,0.305746,0.026801,0.276364,0.009039,3.557561,1.780418,0.027826,completed
2026-06-07T13:40:37Z,92a00a6,4b7fd5e4f2e69bb8,imdb-Shadow-HGC-R-1-seed0-4b7fd5e4,imdb,Shadow-HGC-R-1,69,69,director--directs-->movie=23;actor--acts_in-->movie=23;keyword--keyword_in-->movie=23,64,raw,clipped,relation_linear,0.316781,0.018312,0.289112,0.018788,6.990609,0.743340,0.029790,completed
2026-06-07T13:46:28Z,92a00a6,f43330fd96c4e44d,acm-Shadow-HGC-R-1-seed0-f43330fd,acm,Shadow-HGC-R-1,12,12,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_mlp,0.720334,0.032938,0.719785,0.032631,3.895724,9.939559,0.450785,completed
2026-06-07T13:47:03Z,92a00a6,118e23a49caff4ca,acm-Shadow-HGC-R-1-seed0-118e23a4,acm,Shadow-HGC-R-1,18,18,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_mlp,0.767548,0.005617,0.766394,0.007226,4.530512,6.145387,0.384488,completed
2026-06-07T13:47:36Z,92a00a6,5d2bb92ec301d47b,dblp-Shadow-HGC-R-1-seed0-5d2bb92e,dblp,Shadow-HGC-R-1,16,16,paper--written_by-->author=16,64,raw,clipped,relation_mlp,0.720188,0.018387,0.712374,0.017197,1.254567,4.673889,0.821378,completed
2026-06-07T13:47:54Z,92a00a6,fd582b05307bd4ac,dblp-Shadow-HGC-R-1-seed0-fd582b05,dblp,Shadow-HGC-R-1,24,24,paper--written_by-->author=24,64,raw,clipped,relation_mlp,0.717488,0.028374,0.707632,0.024202,2.024856,3.371365,0.805634,completed
2026-06-07T13:48:34Z,92a00a6,bc78a432d55e2a5a,imdb-Shadow-HGC-R-1-seed0-bc78a432,imdb,Shadow-HGC-R-1,20,20,director--directs-->movie=8;actor--acts_in-->movie=8;keyword--keyword_in-->movie=8,64,raw,clipped,relation_mlp,0.300854,0.024818,0.276763,0.024058,3.740188,20.814921,0.859719,completed
2026-06-07T13:49:51Z,92a00a6,532e8fa7158c64a0,imdb-Shadow-HGC-R-1-seed0-532e8fa7,imdb,Shadow-HGC-R-1,27,27,director--directs-->movie=9;actor--acts_in-->movie=9;keyword--keyword_in-->movie=9,64,raw,clipped,relation_mlp,0.309806,0.025419,0.263292,0.021800,4.074974,23.010323,0.856566,completed
