dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,smooth_prob,probabilities,0.6,2,2.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.9008498787879944,0.8962585926055908,0.9015014171600342,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.6,2,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.9036827087402344,0.8962585926055908,0.9043217301368713,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.6,4,1.0,,,,0.9285714030265808,0.593406617641449,0.8956562876701355,0.638338029384613,0.8962585926055908,0.6375762820243835,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.6,4,1.0,,,,0.9285714030265808,0.9450549483299255,0.8956562876701355,0.906987726688385,0.8962585926055908,0.9076114495595297,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.6,4,2.0,,,,0.9285714030265808,0.9450549483299255,0.8956562876701355,0.9088762998580933,0.8962585926055908,0.9095055460929871,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.6,4,4.0,,,,0.9285714030265808,0.9395604133605957,0.8956562876701355,0.9126534461975098,0.8962585926055908,0.9132814606030782,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_logits,logits,0.6,8,1.0,,,,0.9285714030265808,0.5054945349693298,0.8956562876701355,0.5576015114784241,0.8962585926055908,0.5414941608905792,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.6,8,1.0,,,,0.9285714030265808,0.9450549483299255,0.8956562876701355,0.9093484282493591,0.8962585926055908,0.910037636756897,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.6,8,2.0,,,,0.9285714030265808,0.9395604133605957,0.8956562876701355,0.9093484282493591,0.8962585926055908,0.910037636756897,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_prob,probabilities,0.6,8,4.0,,,,0.9285714030265808,0.9395604133605957,0.8956562876701355,0.9126534461975098,0.8962585926055908,0.9132658441861471,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
